TIME: 10284525000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10284675000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10303325000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10303425000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10303575000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10303725000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10303875000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10322525000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10322625000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10322775000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10322925000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10323075000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10332555000 | RAM WRITE | Addr: 55 <= Data: 55
TIME: 10341725000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10341825000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10341975000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10342125000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10342275000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10351745000 | RAM WRITE | Addr: 56 <= Data: 56
TIME: 10351755000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10360925000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10361025000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10361175000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10361325000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10361475000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10370935000 | RAM WRITE | Addr: 57 <= Data: 57
TIME: 10370945000 | RAM WRITE | Addr: 57 <= Data: 56
TIME: 10370955000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10380125000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10380225000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10380375000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10380525000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10380675000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10390145000 | RAM WRITE | Addr: 57 <= Data: 56
TIME: 10390155000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10399325000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10399425000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10399575000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10399725000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10399875000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10409345000 | RAM WRITE | Addr: 57 <= Data: 56
TIME: 10409355000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10418525000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10418625000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10418775000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10418925000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10419075000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10428545000 | RAM WRITE | Addr: 57 <= Data: 56
TIME: 10428555000 | RAM WRITE | Addr: 56 <= Data: 55
