# label area perimeter xmin xmax ymin ymax
1330 4 4 1363 1363 329 332
1338 1 1 462 462 331 331
1339 109 69 500 519 331 343
1340 1 1 543 543 331 331
1341 344 150 530 577 331 354
1342 81 50 725 745 331 340
1344 2 2 1097 1098 331 331
1345 1 1 1263 1263 331 331
1346 6 6 1383 1384 331 333
1351 37 29 705 720 332 334
1358 1 1 586 586 333 333
1365 1 1 1278 1278 334 334
1366 1 1 1355 1355 334 334
1367 1 1 1362 1362 334 334
1368 1 1 1494 1494 334 334
1369 1 1 634 634 335 335
1370 1 1 639 639 335 335
1371 3 3 652 654 335 335
1372 22 18 675 682 335 339
1374 2 2 1352 1353 335 335
1376 4 4 1215 1218 336 336
1381 2 2 502 503 338 338
1382 2 2 599 600 338 338
1383 1 1 1360 1360 338 338
1386 2 2 602 603 339 339
1387 1 1 643 643 339 339
1388 16 12 1343 1346 339 343
1390 6 6 521 523 340 343
1391 1 1 604 604 340 340
1392 1 1 1352 1352 340 340
1396 791 217 597 673 341 364
1397 49 34 688 701 341 351
1398 42 28 1235 1250 341 344
1401 3 3 565 567 342 342
1404 24 23 702 717 342 344
1407 1 1 1357 1357 342 342
1414 1 1 738 738 343 343
1416 1 1 1402 1402 343 343
1420 1 1 501 501 344 344
1421 1 1 564 564 344 344
1426 1 1 1234 1234 344 344
1427 1 1 1479 1479 344 344
1430 10 10 1693 1698 344 345
1433 2 2 1346 1346 345 346
1436 89 54 578 596 346 355
1441 2 2 705 705 348 349
1442 631 106 1267 1307 348 373
1449 5 5 747 748 350 353
1451 13 13 546 552 351 354
1452 15 14 692 699 351 354
1464 1 1 555 555 354 354
1465 3 3 746 746 354 356
1468 11 9 886 890 355 358
1471 2888 725 597 700 356 445
1472 2 2 719 720 356 356
1476 2 2 716 717 357 357
1479 1 1 714 714 358 358
1487 1 1 698 698 362 362
1492 129 76 694 723 364 375
1493 16 14 1397 1399 364 370
1496 18 13 606 611 365 369
1499 4 4 1013 1014 365 366
1506 3 3 1503 1503 366 368
1520 1 1 724 724 370 370
1525 10 10 722 726 371 375
1529 2 2 741 741 372 373
1530 3 3 1551 1551 372 374
1536 2 2 740 740 374 375
1540 20 18 684 691 375 379
1546 3 3 1398 1398 376 378
1551 1 1 1354 1354 377 377
1556 2359 309 1175 1255 380 431
1559 6 6 1352 1355 381 382
1565 7 7 679 684 383 384
1566 1 1 1248 1248 383 383
1567 2 2 1349 1350 383 383
1568 1 1 1362 1362 383 383
1570 3 3 1641 1642 383 384
1573 1 1 699 699 387 387
1575 2 2 1917 1918 387 387
1576 3 3 0 4095 388 388
1577 2 2 701 702 388 388
1580 15 14 679 685 389 394
1585 2 2 1569 1570 391 391
1587 23 23 1907 4095 391 393
1588 111 80 676 706 392 407
1589 38 23 1290 1300 392 396
1590 29 19 1303 1310 392 396
1594 175 92 869 913 393 403
1603 16 16 1627 1633 394 401
1609 1 1 1590 1590 395 395
1610 2 2 1605 1605 395 396
1614 60 51 837 865 397 400
1617 1 1 1587 1587 397 397
1619 16458 2507 1490 1918 397 575
1621 117 117 0 4095 398 436
1626 48 38 812 832 399 405
1629 207 83 1316 1345 399 411
1653 2 2 699 700 403 403
1655 3 3 1359 1360 403 404
1657 5 5 1571 1573 403 405
1658 1 1 698 698 404 404
1659 4 4 765 767 404 405
1661 1 1 1611 1611 404 404
1663 2 2 923 923 405 406
1664 3 3 1078 1080 405 405
1666 1 1 1596 1596 405 405
1674 3 3 803 805 407 407
1675 2 2 924 925 407 407
1677 30 21 1354 1363 407 414
1679 1 1 1578 1578 407 407
1681 3 3 806 808 408 408
1682 169 79 902 940 408 417
1685 1 1 1566 1566 408 408
1686 2 2 1623 1623 408 409
1688 1 1 678 678 409 409
1689 6 6 819 822 409 410
1691 6 6 1586 1589 409 410
1693 2 2 629 630 410 410
1703 1 1 823 823 412 412
1713 83 52 982 1008 413 417
1715 1 1 1575 1575 413 413
1718 22 16 626 633 414 417
1720 1 1 825 825 414 414
1724 5 5 1410 1414 414 414
1727 1 1 826 826 415 415
1733 1 1 694 694 416 416
1734 5 5 751 754 416 417
1735 3 3 827 828 416 417
1739 1 1 692 692 417 417
1740 2 2 747 748 417 417
1741 1 1 1089 1089 417 417
1742 29 20 1574 1579 417 422
1744 10319 1445 0 4095 418 507
1745 190 51 583 599 418 434
1747 33 33 780 808 418 420
1748 4 4 1145 1147 418 419
1750 207 83 1292 1314 418 437
1766 1 1 690 690 420 420
1768 402 129 1251 1276 420 466
1773 36 22 770 779 421 424
1778 19 19 818 832 422 424
1797 3 3 1038 1040 425 425
1806 1 1 642 642 427 427
1813 15 10 770 774 428 432
1825 4 4 647 649 430 431
1831 1 1 624 624 431 431
1833 13 10 860 864 431 433
1834 1 1 903 903 431 431
1835 1 1 1002 1002 431 431
1839 2 2 651 652 432 432
1842 48 31 1005 1009 433 447
1848 8 7 653 655 435 437
1849 24 18 1106 1114 435 438
1857 1 1 648 648 437 437
1862 11 11 631 637 438 440
1863 4 4 649 652 438 438
1871 10 10 771 772 439 447
1873 17 15 1298 1306 439 441
1874 86 60 1892 1918 439 444
1881 1 1 675 675 440 440
1887 1 1 1287 1287 441 441
1894 3 3 644 646 442 442
1898 1 1 642 642 443 443
1899 685 210 1271 1319 443 472
1903 1 1 666 666 445 445
1904 4 4 1295 1296 445 447
1912 1 1 661 661 448 448
1913 1 1 659 659 449 449
1914 84 43 1188 1202 449 459
1916 20 15 1724 1730 449 451
1920 29 20 626 635 451 455
1925 1 1 1164 1164 452 452
1927 1 1 1296 1296 452 452
1929 64 33 651 666 453 459
1930 1 1 1167 1167 453 453
1931 1 1 1179 1179 453 453
1941 38 25 1093 1104 455 458
1945 6 5 1154 1156 456 458
1948 1 1 120 120 457 457
1949 2 2 337 338 457 457
1950 2 2 936 937 457 457
1952 82 44 1166 1187 457 462
1964 1 1 99 99 460 460
1965 59 32 164 178 460 466
1967 17 15 474 480 460 462
1968 32 20 800 805 460 466
1972 1 1 123 123 463 463
1973 1 1 315 315 463 463
1974 17 17 769 771 463 469
1977 1 1 120 120 465 465
1978 3 3 1133 1135 465 465
1980 381 106 747 784 466 493
1982 8 8 1146 1152 466 467
1985 1 1 861 861 467 467
1986 15 15 1203 1212 467 468
1987 16 16 1216 1225 467 468
1993 59 39 1182 1202 469 472
2001 1 1 1292 1292 470 470
2010 241 132 1433 1487 473 483
2012 23 20 278 289 474 476
2013 9 9 426 430 474 478
2018 32 20 1106 1115 476 479
2022 2 2 1560 1561 476 476
2023 4 4 436 438 477 478
2034 8 8 216 222 480 481
2040 29 17 296 302 481 486
2041 2 2 419 420 481 481
2044 3 3 1568 1569 481 482
2045 1 1 456 456 482 482
2047 1 1 172 172 483 483
2049 1 1 786 786 483 483
2052 2 2 1105 1105 485 486
2054 38 23 806 818 486 490
2055 211 99 865 913 486 490
2058 11 10 228 232 487 490
2062 23 23 961 973 488 490
2063 3 3 1502 1503 488 489
2064 5 5 1527 1531 488 488
2067 607 188 17 92 490 506
2068 5 4 1325 1327 490 492
2071 9 8 227 229 492 495
2072 1 1 1317 1317 492 492
2075 9 8 1318 1321 493 495
2076 13 13 1443 1446 493 498
2080 45 25 1310 1315 495 506
2082 182 62 213 235 496 509
2083 3 3 771 773 496 496
2084 3 3 1107 1109 496 496
2092 93 62 97 128 501 504
2093 40 35 157 173 501 506
2096 92 45 254 259 501 521
2097 17 13 716 721 501 503
2098 5 5 771 772 501 503
2099 232 99 1028 1068 501 512
2104 2 2 1164 1164 502 503
2105 1 1 1173 1173 502 502
2106 5 5 1508 1509 502 504
2108 1 1 175 175 503 503
2111 2 2 1098 1098 503 504
2112 3 3 1533 1534 503 504
2113 3 3 1560 1561 503 504
2118 2 2 128 129 506 506
2119 2 2 264 265 506 506
2121 10 10 132 141 507 507
2124 2 2 674 675 507 507
2125 15 15 1015 1024 507 510
2126 1 1 1170 1170 507 507
2129 192 70 1162 1184 508 525
2130 1 1 1302 1302 508 508
2132 1 1 1303 1303 509 509
2133 173 55 1298 1318 509 521
2135 35 23 1146 1156 510 516
2140 3 3 1509 1509 511 513
2141 4 4 675 678 512 512
2142 3 3 1026 1027 512 513
2143 1 1 1050 1050 512 512
2144 1 1 1143 1143 512 512
2147 3 3 662 664 513 513
2148 1 1 671 671 513 513
2149 2 2 679 680 513 513
2152 2 2 1533 1533 513 514
2153 6 6 657 660 514 516
2154 2 2 1157 1158 514 514
2156 5 5 435 439 515 515
2157 8 7 1022 1025 515 517
2158 7 7 1035 1038 515 517
2160 10 9 1044 1047 516 519
2162 2 2 650 651 517 517
2163 1 1 662 662 517 517
2165 1573 282 596 709 518 538
2168 2 2 1053 1053 518 519
2171 2 2 1017 1017 519 520
2172 16 15 1031 1033 519 527
2173 10 10 235 241 520 521
2174 2 2 1095 1095 520 521
2180 8 8 412 419 522 522
2181 79 64 427 460 522 527
2182 5 5 578 580 522 523
2183 3 3 586 588 522 522
2188 41 29 356 369 523 528
2190 1 1 584 584 523 523
2191 13 13 713 720 523 524
2192 599 209 917 1014 524 541
2193 81 41 1014 1032 524 533
2206 149 73 1127 1160 528 538
2215 7 7 363 366 531 534
2219 1 1 1044 1044 531 531
2236 2 2 957 958 539 539
2239 1 1 17 17 541 541
2240 7 7 1475 1481 541 541
2241 144 55 186 205 542 556
2243 2 2 720 720 543 544
2244 15 13 743 750 543 546
2245 24 18 1130 1136 543 548
2246 56 41 1148 1159 543 552
2247 1 1 1164 1164 543 543
2248 6 6 729 733 545 546
2250 14 12 1139 1144 545 548
2252 12 12 26 34 547 548
2260 7 7 1164 1167 552 553
2261 1 1 447 447 556 556
2262 103 53 1896 4095 556 562
2264 1 1 12 12 557 557
2265 1 1 429 429 558 558
2266 2 2 398 399 561 561
2267 6 6 0 4095 562 563
2268 149 63 2 26 562 571
2272 1 1 768 768 564 564
2273 18 18 312 326 569 570
2275 32 30 271 289 572 575
2280 103 72 1549 1585 576 579
2282 8 8 237 241 577 579
