# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
2328 22 22 0 1 610 620 1 10 10 0 0 0 0 1 0 1
1540 20 18 684 691 375 379 7 4 28 0 0 0 0 1 0 1
1916 20 15 1724 1730 449 451 6 2 12 0 0 0 0 1 0 1
2352 20 20 1322 1341 834 834 19 0 0 0 0 0 0 1 0 0
804 19 14 1605 1610 258 261 5 3 15 0 0 0 0 1 0 1
865 19 14 1490 1496 268 271 6 3 18 0 0 0 0 1 0 1
1778 19 19 818 832 422 424 14 2 28 0 0 0 0 1 0 1
1496 18 13 606 611 365 369 5 4 20 0 0 0 1 1 0 1
2273 18 18 312 326 569 570 14 1 14 0 0 0 0 1 0 1
720 17 14 1383 1390 243 246 7 3 21 0 0 0 0 1 0 1
823 17 17 1469 1475 262 269 6 7 42 0 0 0 1 1 1 1
1873 17 15 1298 1306 439 441 8 2 16 0 0 0 0 1 0 1
1967 17 15 474 480 460 462 6 2 12 0 0 0 0 1 0 1
2097 17 13 716 721 501 503 5 2 10 0 0 0 0 1 0 1
31 16 15 1912 1919 19 22 7 3 21 0 0 0 0 1 0 1
197 16 13 1632 1638 116 120 6 4 24 0 0 0 0 1 0 1
251 16 14 1512 1519 138 141 7 3 21 0 0 0 0 1 0 1
514 16 14 1545 1549 196 201 4 5 20 0 0 0 1 1 0 1
633 16 13 1498 1503 217 220 5 3 15 0 0 0 0 1 0 1
1189 16 15 1284 1294 310 312 10 2 20 0 0 0 0 1 0 1
1307 16 13 579 583 326 330 4 4 16 0 0 0 1 1 0 1
1317 16 16 1273 1277 328 335 4 7 28 0 0 0 0 1 1 1
1388 16 12 1343 1346 339 343 3 4 12 0 0 0 1 1 0 1
1493 16 14 1397 1399 364 370 2 6 12 0 0 0 0 1 0 1
1603 16 16 1627 1633 394 401 6 7 42 0 0 0 1 1 1 1
1987 16 16 1216 1225 467 468 9 1 9 0 0 0 0 1 0 1
