TIME: 27095245000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27095255000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27095285000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 27123965000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27123975000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27124005000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 27152665000 | RAM WRITE | Addr: 13 <= Data: 13
TIME: 27152675000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27152685000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27152695000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27152725000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 27181375000 | RAM WRITE | Addr: 14 <= Data: 14
TIME: 27181385000 | RAM WRITE | Addr: 14 <= Data: 13
TIME: 27181395000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27181405000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27181415000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27181445000 | RAM WRITE | Addr: 10 <= Data: 9
TIME: 27210115000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27210125000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27210135000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27238835000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27238845000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27238855000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27267555000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27267565000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27267575000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27296255000 | RAM WRITE | Addr: 15 <= Data: 15
TIME: 27296265000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27296275000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27296285000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27296295000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27324935000 | RAM WRITE | Addr: 16 <= Data: 16
TIME: 27324985000 | RAM WRITE | Addr: 15 <= Data: 13
